Rechnung Nr;Rechnung Datum;Auftrag Datum;Kunde;Total ohne MwSt;MwSt 8.1%;Endtotal;Status
INV-2024-10001;2024-02-01;2024-01-a0;Keller AG;304.79;329.48;634.27;offen
INV-2024-10002;2024-01-27;2024-01-25;Weber AG;2448.76;2647.11;;überfällig
INV-2024-10003;2024-01-12;2024-01-10;Meier GmbH;a003.93;3247.25;6251.18;bezahlt
INV-2024-10004;2024-01-18;2024-01-16;Huber GmbH;2945.05;3183.6;6128.65;
INV-2024-10005;2024-01-27;;Weber AG;415.16;448.79;863.95;überfällig
INV-2024-10006;2024-01-06;2024-01-04;Huber GmbH;4485.88;4849.24;9335.12;überfällig
INV-2024-10007;2024-01-10;2024-01-08;City Kiosk Bern;1423.53;1538.84;2962.37;überfällig
INV-2024-10008;2024-02-01;2024-01-30;City Kiosk Bern;1618.37;1749.46;3367.83;offen
INV-2024-10009;2024-01-14;2024-01-12;coop AG;930.38;1005.74;1936.12;überfällig
INV-2024-10010;2024-01-25;2024-01-23;Payfix GmbH,Wallee AG;2782.18;3007.54;5789.72;bezahlt
INV-2024-10011;2024-01-19;2024-01-17;Migros AG;1047.71;1132.57;2180.28;bezahlt
INV-2024-10012;2024-01-18;2024-01-16;coop AG;3701.66;4001.49;7703.15;überfällig
INV-2024-10013;2024-01-23;2024-01-21;Weber AG;1441.02;1557.74;2998.76;bezahlt
INV-2024-10014;2024-01-29;2024-01-27;Müller AG;2235.69;2416.78;4652.47;offen
INV-2024-10015;2024-01-21;2024-01-19;Schmid AG;1588.71;1717.4;3306.11;bezahlt
INV-2024-10016;2024-01-19;2024-01-17;City Kiosk Bern;3428.11;3705.79;7133.9;überfällig
INV-2024-10017;2024-01-25;2024-01-23;Müller AG;4103.42;4435.8;8539.22;überfällig
INV-2024-10018;2024-01-21;2024-01-19;Schmid AG;3447.95;3727.23;7175.18;bezahlt
INV-2024-10019;2024-02-01;2024-01-30;Müller AG;1577.69;1705.48;3283.17;offen
INV-2024-10020;2024-01-16;2024-01-14;Meier GmbH;3977.88;4300.09;8277.97;überfällig
INV-2024-10021;2024-01-27;2024-01-25;Meier GmbH;4749.4;5134.1;9883.5;überfällig
INV-2024-10022;2024-01-02;2023-12-31;Müller AG;681.47;736.67;1418.14;offen
INV-2024-10023;2024-01-24;2024-01-22;Müller AG;553.63;598.47;1152.1;bezahlt
INV-2024-10024;2024-01-04;2024-01-02;Huber GmbH;3236.28;3498.42;6734.7;überfällig
INV-2024-10025;2024-01-08;2024-01-06;Migros AG;755.97;817.2;1573.17;offen
INV-2024-10026;2024-01-15;2024-01-13;Huber GmbH;4766.62;5152.72;9919.34;überfällig
INV-2024-10027;2024-01-02;2023-12-31;Huber GmbH;3209.27;3469.22;6678.49;überfällig
INV-2024-10028;2024-01-03;2024-01-01;Huber GmbH;437.15;472.56;909.71;bezahlt
INV-2024-10029;2024-01-28;2024-01-26;Schmid AG;2534.21;2739.48;5273.69;überfällig
INV-2024-10030;2024-01-28;2024-01-26;Huber GmbH;3074.24;3323.25;6397.49;bezahlt
INV-2024-10031;2024-01-22;2024-01-20;Meier GmbH;4292.08;4639.74;8931.82;überfällig
INV-2024-10032;2024-01-13;2024-01-11;Müller AG;4328.51;4679.12;9007.63;bezahlt
INV-2024-10033;2024-01-06;2024-01-04;Huber GmbH;1907.11;2061.59;3968.7;überfällig
INV-2024-10034;2024-01-09;2024-01-07;coop AG;4077.79;4408.09;8485.88;offen
INV-2024-10035;2024-01-17;2024-01-15;City Kiosk Bern;3019.5;3264.08;6283.58;offen
INV-2024-10036;2024-01-14;2024-01-12;Müller AG;276.59;298.99;575.58;bezahlt
INV-2024-10037;2024-01-20;2024-01-18;Keller AG;3761.99;4066.71;7828.7;offen
INV-2024-10038;2024-01-03;2024-01-01;Keller AG;4785.93;5173.59;9959.52;überfällig
INV-2024-10039;2024-01-24;2024-01-22;Meier GmbH;2389.9;2583.48;4973.38;bezahlt
INV-2024-10040;2024-01-26;2024-01-24;Schmid AG;4769.05;5155.34;9924.39;überfällig
INV-2024-10041;2024-01-26;2024-01-24;Huber GmbH;593.3;641.36;1234.66;überfällig
INV-2024-10042;2024-01-13;2024-01-11;coop AG;3013.9;3258.03;6271.93;offen
INV-2024-10043;2024-01-08;2024-01-06;Weber AG;2899.61;3134.48;6034.09;überfällig
INV-2024-10044;2024-01-07;2024-01-05;Weber AG;1321.0;1428.0;2749.0;offen
INV-2024-10045;2024-01-17;2024-01-15;Payfix GmbH,Wallee AG;104.5;112.96;217.46;überfällig
INV-2024-10046;2024-01-23;2024-01-21;Payfix GmbH,Wallee AG;4386.41;4741.71;9128.12;offen
INV-2024-10047;2024-01-27;2024-01-25;Keller AG;2634.24;2847.61;5481.85;bezahlt
INV-2024-10048;2024-01-23;2024-01-21;City Kiosk Bern;2264.44;2447.86;4712.3;offen
INV-2024-10049;2024-01-02;2023-12-31;Meier GmbH;3993.1;4316.54;8309.64;bezahlt
INV-2024-10050;2024-01-06;2024-01-04;Meier GmbH;4304.66;4653.34;8958.0;bezahlt
INV-2024-10051;2024-01-20;2024-01-18;City Kiosk Bern;4198.02;4538.06;8736.08;überfällig
INV-2024-10052;2024-01-27;2024-01-25;Huber GmbH;1368.64;1479.5;2848.14;bezahlt
INV-2024-10053;2024-01-10;2024-01-08;Müller AG;3649.39;3944.99;7594.38;bezahlt
INV-2024-10054;2024-01-10;2024-01-08;Schmid AG;3902.95;4219.09;8122.04;bezahlt
INV-2024-10055;2024-01-26;2024-01-24;Schmid AG;3705.05;4005.16;7710.21;bezahlt
INV-2024-10056;2024-01-13;2024-01-11;City Kiosk Bern;4770.16;5156.54;9926.7;offen
INV-2024-10057;2024-01-09;2024-01-07;Meier GmbH;3222.53;3483.55;6706.08;überfällig
INV-2024-10058;2024-01-07;2024-01-05;Müller AG;3504.26;3788.11;7292.37;offen
INV-2024-10059;2024-01-20;2024-01-18;Keller AG;3381.27;3655.15;7036.42;überfällig
INV-2024-10060;2024-01-17;2024-01-15;Payfix GmbH,Wallee AG;2092.52;2262.01;4354.53;offen
INV-2024-10061;2024-01-19;2024-01-17;Payfix GmbH,Wallee AG;2050.18;2216.24;4266.42;bezahlt
INV-2024-10062;2024-01-16;2024-01-14;Schmid AG;2065.36;2232.65;4298.01;offen
INV-2024-10063;2024-01-16;2024-01-14;Meier GmbH;2724.44;2945.12;5669.56;überfällig
INV-2024-10064;2024-02-01;2024-01-30;City Kiosk Bern;4620.07;4994.3;9614.37;bezahlt
INV-2024-10065;2024-01-09;2024-01-07;coop AG;1943.7;2101.14;4044.84;bezahlt
INV-2024-10066;2024-01-13;2024-01-11;Payfix GmbH,Wallee AG;295.93;319.9;615.83;überfällig
INV-2024-10067;2024-01-18;2024-01-16;Weber AG;2230.1;2410.74;4640.84;offen
INV-2024-10068;2024-01-10;2024-01-08;coop AG;4774.9;5161.67;9936.57;überfällig
INV-2024-10069;2024-01-05;2024-01-03;Müller AG;2309.78;2496.87;4806.65;überfällig
INV-2024-10070;2024-01-30;2024-01-28;Schmid AG;2056.19;2222.74;4278.93;bezahlt
INV-2024-10071;2024-01-24;2024-01-22;Müller AG;4886.68;5282.5;10169.18;überfällig
INV-2024-10072;2024-01-05;2024-01-03;Müller AG;2978.95;3220.24;6199.19;bezahlt
INV-2024-10073;2024-01-02;2023-12-31;Schmid AG;2735.44;2957.01;5692.45;offen
INV-2024-10074;2024-01-05;2024-01-03;Migros AG;4045.81;4373.52;8419.33;offen
INV-2024-10075;2024-01-18;2024-01-16;Payfix GmbH,Wallee AG;1229.09;1328.65;2557.74;offen
INV-2024-10076;2024-01-12;2024-01-10;Migros AG;1644.66;1777.88;3422.54;offen
INV-2024-10077;2024-01-09;2024-01-07;coop AG;3330.03;3599.76;6929.79;überfällig
INV-2024-10078;2024-01-24;2024-01-22;Payfix GmbH,Wallee AG;1630.22;1762.27;3392.49;überfällig
INV-2024-10079;2024-01-26;2024-01-24;Müller AG;2361.05;2552.3;4913.35;bezahlt
INV-2024-10080;2024-01-26;2024-01-24;Meier GmbH;1585.76;1714.21;3299.97;bezahlt
INV-2024-10081;2024-01-18;2024-01-16;Migros AG;3377.7;3651.29;7028.99;offen
INV-2024-10082;2024-01-22;2024-01-20;City Kiosk Bern;2191.56;2369.08;4560.64;offen
INV-2024-10083;2024-01-06;2024-01-04;Huber GmbH;1407.11;1521.09;2928.2;bezahlt
INV-2024-10084;2024-01-19;2024-01-17;Keller AG;4409.7;4766.89;9176.59;offen
INV-2024-10085;2024-01-16;2024-01-14;coop AG;1529.5;1653.39;3182.89;bezahlt
INV-2024-10086;2024-01-23;2024-01-21;Weber AG;2859.26;3090.86;5950.12;offen
INV-2024-10087;2024-01-08;2024-01-06;Schmid AG;1978.53;2138.79;4117.32;offen
INV-2024-10088;2024-01-26;2024-01-24;Meier GmbH;3668.82;3965.99;7634.81;überfällig
INV-2024-10089;2024-01-16;2024-01-14;Müller AG;1616.85;1747.81;3364.66;überfällig
INV-2024-10090;2024-01-03;2024-01-01;City Kiosk Bern;4511.64;4877.08;9388.72;überfällig
INV-2024-10091;2024-01-30;2024-01-28;Schmid AG;4280.27;4626.97;8907.24;bezahlt
INV-2024-10092;2024-01-26;2024-01-24;Müller AG;109.37;118.23;227.6;bezahlt
INV-2024-10093;2024-01-29;2024-01-27;Payfix GmbH,Wallee AG;2327.47;2516.0;4843.47;überfällig
INV-2024-10094;2024-01-16;2024-01-14;Schmid AG;1451.93;1569.54;3021.47;überfällig
INV-2024-10095;2024-01-25;2024-01-23;Schmid AG;3984.18;4306.9;8291.08;offen
INV-2024-10096;2024-01-29;2024-01-27;Meier GmbH;290.86;314.42;605.28;überfällig
INV-2024-10097;2024-01-17;2024-01-15;Meier GmbH;995.83;1076.49;2072.32;offen
INV-2024-10098;2024-01-12;2024-01-10;Weber AG;4997.04;5401.8;10398.84;überfällig
INV-2024-10099;2024-01-25;2024-01-23;Huber GmbH;1405.88;1519.76;2925.64;überfällig
INV-2024-10100;2024-01-18;2024-01-16;Müller AG;3177.98;3435.4;6613.38;offen
INV-2024-10101;2024-01-06;2024-01-04;Payfix GmbH,Wallee AG;1910.6;2065.36;3975.96;überfällig
INV-2024-10102;2024-01-18;2024-01-16;Migros AG;2956.78;3196.28;6153.06;offen
INV-2024-10103;2024-01-21;2024-01-19;Meier GmbH;2989.65;3231.81;6221.46;bezahlt
INV-2024-10104;2024-01-10;2024-01-08;Müller AG;948.17;1024.97;1973.14;bezahlt
INV-2024-10105;2024-01-10;2024-01-08;Meier GmbH;199.15;215.28;414.43;bezahlt
INV-2024-10106;2024-01-20;2024-01-18;Meier GmbH;1358.15;1468.16;2826.31;überfällig
INV-2024-10107;2024-01-08;2024-01-06;Huber GmbH;3297.75;3564.87;6862.62;offen
INV-2024-10108;2024-01-25;2024-01-23;coop AG;1803.61;1949.7;3753.31;offen
INV-2024-10109;2024-01-16;2024-01-14;Migros AG;2459.25;2658.45;5117.7;überfällig
INV-2024-20001;2024-02-11;2024-02-09;Müller AG;1280.71;1384.45;2665.16;überfällig
INV-2024-20002;2024-02-02;2024-01-31;Migros AG;904.36;977.61;1881.97;offen
INV-2024-20003;2024-02-09;2024-02-07;Migros AG;3670.37;3967.67;7638.04;überfällig
INV-2024-20004;2024-02-11;2024-02-09;Keller AG;4165.6;4503.01;8668.61;überfällig
INV-2024-20005;2024-03-01;2024-02-28;Keller AG;183.45;198.31;381.76;offen
INV-2024-20006;2024-02-03;2024-02-01;Keller AG;1481.08;1601.05;3082.13;überfällig
INV-2024-20007;2024-02-03;2024-02-01;Keller AG;2317.91;2505.66;4823.57;überfällig
INV-2024-20008;2024-02-08;2024-02-06;Migros AG;3114.48;3366.75;6481.23;bezahlt
INV-2024-20009;2024-02-05;2024-02-03;Migros AG;3953.86;4274.12;8227.98;offen
INV-2024-20010;2024-02-05;2024-02-03;Weber AG;4863.54;5257.49;10121.03;bezahlt
INV-2024-20011;2024-02-20;2024-02-18;Müller AG;292.59;316.29;608.88;überfällig
INV-2024-20012;2024-02-28;2024-02-26;Meier GmbH;1205.56;1303.21;2508.77;offen
INV-2024-20013;2024-02-19;2024-02-17;Müller AG;3826.44;4136.38;7962.82;überfällig
INV-2024-20014;2024-02-26;2024-02-24;coop AG;476.04;514.6;990.64;bezahlt
INV-2024-20015;2024-02-05;2024-02-03;Schmid AG;470.96;509.11;980.07;bezahlt
INV-2024-20016;2024-02-02;2024-01-31;Huber GmbH;3600.62;3892.27;7492.89;überfällig
INV-2024-20017;2024-02-26;2024-02-24;coop AG;2474.11;2674.51;5148.62;überfällig
INV-2024-20018;2024-02-08;2024-02-06;Meier GmbH;3206.95;3466.71;6673.66;offen
INV-2024-20019;2024-02-06;2024-02-04;City Kiosk Bern;2636.31;2849.85;5486.16;offen
INV-2024-20020;2024-02-27;2024-02-25;Meier GmbH;3803.68;4111.78;7915.46;bezahlt
INV-2024-20021;2024-02-13;2024-02-11;Payfix GmbH,Wallee AG;1776.38;1920.27;3696.65;überfällig
INV-2024-20022;2024-02-19;2024-02-17;Schmid AG;4307.71;4656.63;8964.34;bezahlt
INV-2024-20023;2024-02-07;2024-02-05;Weber AG;3088.6;3338.78;6427.38;offen
INV-2024-20024;2024-02-28;2024-02-26;Meier GmbH;295.41;319.34;614.75;überfällig
INV-2024-20025;2024-02-03;2024-02-01;Müller AG;1911.4;2066.22;3977.62;überfällig
INV-2024-20026;2024-02-05;2024-02-03;Schmid AG;1606.01;1736.1;3342.11;bezahlt
INV-2024-20027;2024-02-04;2024-02-02;Weber AG;3463.89;3744.47;7208.36;offen
INV-2024-20028;2024-02-23;2024-02-21;Huber GmbH;1421.86;1537.03;2958.89;überfällig
INV-2024-20029;2024-02-21;2024-02-19;Keller AG;1883.96;2036.56;3920.52;überfällig
INV-2024-20030;2024-02-09;2024-02-07;Meier GmbH;1167.43;1261.99;2429.42;bezahlt
INV-2024-20031;2024-02-28;2024-02-26;Müller AG;4662.7;5040.38;9703.08;offen
INV-2024-20032;2024-02-07;2024-02-05;Meier GmbH;1003.05;1084.3;2087.35;bezahlt
INV-2024-20033;2024-02-12;2024-02-10;Meier GmbH;2294.58;2480.44;4775.02;offen
INV-2024-20034;2024-02-03;2024-02-01;Migros AG;4406.99;4763.96;9170.95;bezahlt
INV-2024-20035;2024-02-21;2024-02-19;Meier GmbH;201.47;217.79;419.26;offen
INV-2024-20036;2024-02-18;2024-02-16;coop AG;762.44;824.2;1586.64;bezahlt
